"Sin empezar",,,"En proceso",,,,"Terminadas",,,,
"Tarea","Estimación",,"Tarea","Estimación","Responsable",,"Tarea","Estimación","Esfuerzo real","Responsable","Fecha finalización"
,,,"Unir HTML, identidicadores únicos y precargar funciones js necesarias: Encapsulación","3:30","Álvaro",,"Cerrar lista (automáticamente): Interfaz y lógica","1:00","01:00","Lukas","15/12/13"
,,,,,,,"Cerrar lista (automáticamente): Pruebas y documentación","1:00","01:00","Lukas","15/12/13"
,,,"Mecanismos de usabilidad: Editar items separado del proceso compra","0:30","Marta",,"Recordar usuario y contraseña: Interfaz y lógica","2:00","02:00:00","Ricardo","18/12/13"
,,,"Mecanismos de usabilidad: Informar error formulario","1:00","Álvaro",,"Añadir usuario a grupo: Añadir comentarios php","0:00","0:00","Ricardo","24/12/13"
,,,,,,,"Borrar lista: Corregir ortografía y cambiar estado","0:00","0:00","Ricardo","24/12/13"
,,,"Navegación: Interfaz y lógica","4:00","Ricardo",,"Usuario abandonar grupo: Corregir ortografía","0:00","0:00","Ricardo","24/12/13"
"Navegación: Pruebas y documentación","2:00",,,,,,"Cerrar lista manualmente: Corregir ortografía","0:00","0:00","Ricardo","24/12/13"
"Crear aplicación para Android (Phonegap): Encapsulación","1:30",,,,,,"Configuración cuenta: Añadir comentarios js","0:00","0:00","Ricardo","24/12/13"
"Crear aplicación para Android (Phonegap): Pruebas y documentación","2:00",,,,,,"Mecanismos de usabilidad: Terminología de la página","0:30","00:30:00","Álvaro","02/01/13"
,,,,,,,"Mecanismos de usabilidad: Interfaz pop-up","1:30","01:00:00","Álvaro","02/01/13"
"Unir HTML, identidicadores únicos y precargar funciones js necesarias: Pruebas","1:30",,,,,,"Recordar usuario y contraseña: Pruebas y documentación","1:00","01:00:00","Ricardo","24/12/13"
"Cerrar sesión: Interfaz y lógica","1:00",,,,,,,,,,
"Cerrar sesión: Pruebas y documentación","1:00",,,,,,,,,,
"Importar contactos desde el móvil: Interfaz y lógica","4:00",,,,,,,,,,
"Importar contactos desde el móvil: Pruebas y documentación","3:00",,,,,,,,,,
,,,,,,,,,,,
"Mecanismos de usabilidad: Mobilscroll marcar/desmarcar","3:00",,,,,,,,,,
"Abrir listas: Interfaz y lógica","1:00",,,,,,,,,,
"Abrir listas: Pruebas y documentación","1:00",,,,,,,,,,
"Establecer cantidades de producto en unidades (kg metro unidad ...): Modelo de datos","0:30",,,,,,,,,,
"Establecer cantidades de producto en unidades (kg metro unidad ...): Interfaz y lógica","2:00",,,,,,,,,,
"Establecer cantidades de producto en unidades (kg metro unidad ...): Pruebas y documentación","1:30",,,,,,,,,,
"Invitar a gente por e-mail: Modelo de datos","0:30",,,,,,,,,,
"Invitar a gente por e-mail: Interfaz y lógica","4:00",,,,,,,,,,
"Invitar a gente por e-mail: Pruebas y documentación","2:00",,,,,,,,,,
"Internalización de la interfaz: Modelo de datos","0:30",,,,,,,,,,
"Internalización de la interfaz: Interfaz y lógica","8:00",,,,,,,,,,
"Internalización de la interfaz: Pruebas y documentación","2:30",,,,,,,,,,
